id,order_number,customer_id,order_date,status,amount,expected_delivery,actual_delivery,priority,created_at,updated_at
42369,DC-ORD-1919,11036,2015-01-28,PENDING_PAYMENT,217.95,2015-02-01,2015-02-02,High,2015-01-28 23:57:00,2015-01-28 23:57:00
42370,DC-ORD-61167,10189,2017-06-11,PENDING_PAYMENT,489.71,2017-06-15,2017-06-14,Normal,2017-06-11 21:10:00,2017-06-11 21:10:00
42371,DC-ORD-60420,3164,2017-05-31,PENDING_PAYMENT,123.49,2017-06-04,2017-06-06,High,2017-05-31 23:28:00,2017-05-31 23:28:00
42372,DC-ORD-2566,7208,2015-02-07,PENDING_PAYMENT,1105.46,2015-02-11,2015-02-09,Normal,2015-02-07 10:38:00,2015-02-07 10:38:00
42373,DC-ORD-56660,14859,2017-04-07,PENDING_PAYMENT,123.49,2017-04-11,2017-04-13,High,2017-04-07 02:10:00,2017-04-07 02:10:00
42374,DC-ORD-10063,659,2015-05-27,PENDING_PAYMENT,1348.87,2015-05-31,2015-05-31,Normal,2015-05-27 21:10:00,2015-05-27 21:10:00
42375,DC-ORD-9638,5171,2015-05-21,PENDING_PAYMENT,122.84,2015-05-25,2015-05-25,Normal,2015-05-21 16:16:00,2015-05-21 16:16:00
42376,DC-ORD-53931,10695,2017-02-26,PENDING_PAYMENT,401.79,2017-03-02,2017-02-28,Normal,2017-02-26 06:04:00,2017-02-26 06:04:00
42377,DC-ORD-56958,1403,2017-04-11,PENDING_PAYMENT,56.69,2017-04-15,2017-04-15,Normal,2017-04-11 10:34:00,2017-04-11 10:34:00
42378,DC-ORD-58873,10978,2017-05-09,PENDING_PAYMENT,877.56,2017-05-13,2017-05-13,Normal,2017-05-09 09:29:00,2017-05-09 09:29:00
42379,DC-ORD-51969,6869,2017-01-28,PENDING_PAYMENT,521.5,2017-02-01,2017-02-02,High,2017-01-28 14:42:00,2017-01-28 14:42:00
42380,DC-ORD-51353,4005,2017-01-19,PENDING_PAYMENT,391.82,2017-01-23,2017-01-23,Normal,2017-01-19 14:53:00,2017-01-19 14:53:00
42381,DC-ORD-5453,6875,2015-03-21,PENDING_PAYMENT,522.82,2015-03-25,2015-03-25,Normal,2015-03-21 14:04:00,2015-03-21 14:04:00
42382,DC-ORD-1918,11983,2015-01-28,PENDING_PAYMENT,877.59,2015-02-01,2015-02-01,Normal,2015-01-28 23:36:00,2015-01-28 23:36:00
42383,DC-ORD-52255,6812,2017-02-01,PENDING_PAYMENT,832.38,2017-02-05,2017-02-07,High,2017-02-01 18:54:00,2017-02-01 18:54:00
42384,DC-ORD-8677,3179,2015-05-07,PENDING_PAYMENT,968.46,2015-05-11,2015-05-10,Normal,2015-05-07 15:35:00,2015-05-07 15:35:00
42385,DC-ORD-7166,12934,2015-04-15,PENDING_PAYMENT,395.76,2015-04-19,2015-04-17,Normal,2015-04-15 14:13:00,2015-04-15 14:13:00
42386,DC-ORD-4960,10681,2015-03-14,PENDING_PAYMENT,796.18,2015-03-18,2015-03-20,High,2015-03-14 09:21:00,2015-03-14 09:21:00
42387,DC-ORD-8780,14806,2015-05-09,PENDING_PAYMENT,215.06,2015-05-13,2015-05-15,High,2015-05-09 03:40:00,2015-05-09 03:40:00
42388,DC-ORD-7392,10905,2015-04-18,PENDING_PAYMENT,213.87,2015-04-22,2015-04-21,Normal,2015-04-18 21:23:00,2015-04-18 21:23:00
42389,DC-ORD-8855,9964,2015-05-10,PENDING_PAYMENT,1081.04,2015-05-14,2015-05-16,High,2015-05-10 05:57:00,2015-05-10 05:57:00
42390,DC-ORD-59982,10748,2017-05-25,PENDING_PAYMENT,1060.57,2017-05-29,2017-05-28,Normal,2017-05-25 14:00:00,2017-05-25 14:00:00
42391,DC-ORD-56331,6991,2017-04-02,PENDING_PAYMENT,761.84,2017-04-06,2017-04-04,Normal,2017-04-02 06:54:00,2017-04-02 06:54:00
42392,DC-ORD-59214,1652,2017-05-14,PENDING_PAYMENT,423.37,2017-05-18,2017-05-19,High,2017-05-14 08:57:00,2017-05-14 08:57:00
42393,DC-ORD-4959,10904,2015-03-14,PENDING_PAYMENT,713.05,2015-03-18,2015-03-19,High,2015-03-14 09:00:00,2015-03-14 09:00:00
42394,DC-ORD-56494,3197,2017-04-04,PENDING_PAYMENT,336.12,2017-04-08,2017-04-09,High,2017-04-04 16:00:00,2017-04-04 16:00:00
42395,DC-ORD-2858,1672,2015-02-11,PENDING_PAYMENT,120.89,2015-02-15,2015-02-15,Normal,2015-02-11 16:56:00,2015-02-11 16:56:00
42396,DC-ORD-54102,10890,2017-02-28,PENDING_PAYMENT,732.01,2017-03-04,2017-03-03,Normal,2017-02-28 17:59:00,2017-02-28 17:59:00
42397,DC-ORD-4326,3341,2015-03-05,PENDING_PAYMENT,541.33,2015-03-09,2015-03-07,Normal,2015-03-05 03:14:00,2015-03-05 03:14:00
42398,DC-ORD-1872,679,2015-01-28,PENDING_PAYMENT,479.11,2015-02-01,2015-01-31,Normal,2015-01-28 07:29:00,2015-01-28 07:29:00
42399,DC-ORD-53531,6916,2017-02-20,PENDING_PAYMENT,645.55,2017-02-24,2017-02-22,Normal,2017-02-20 09:56:00,2017-02-20 09:56:00
42400,DC-ORD-57062,7208,2017-04-12,PENDING_PAYMENT,168.68,2017-04-16,2017-04-15,Normal,2017-04-12 23:00:00,2017-04-12 23:00:00
42401,DC-ORD-4764,7182,2015-03-11,PENDING_PAYMENT,506.45,2015-03-15,2015-03-16,High,2015-03-11 12:41:00,2015-03-11 12:41:00
42402,DC-ORD-9110,15909,2015-05-13,PENDING_PAYMENT,793.75,2015-05-17,2015-05-19,High,2015-05-13 23:17:00,2015-05-13 23:17:00
42403,DC-ORD-1721,3964,2015-01-26,PENDING_PAYMENT,555.61,2015-01-30,2015-01-28,Normal,2015-01-26 02:35:00,2015-01-26 02:35:00
42404,DC-ORD-1986,14308,2015-01-29,PENDING_PAYMENT,118.29,2015-02-02,2015-01-31,Normal,2015-01-29 23:26:00,2015-01-29 23:26:00
42405,DC-ORD-58838,4022,2017-05-08,PENDING_PAYMENT,718.72,2017-05-12,2017-05-12,Normal,2017-05-08 21:13:00,2017-05-08 21:13:00
42406,DC-ORD-57373,6946,2017-04-17,PENDING_PAYMENT,935.25,2017-04-21,2017-04-21,Normal,2017-04-17 11:58:00,2017-04-17 11:58:00
42407,DC-ORD-61582,3295,2017-06-17,PENDING_PAYMENT,492.26,2017-06-21,2017-06-20,Normal,2017-06-17 22:34:00,2017-06-17 22:34:00
42408,DC-ORD-5263,16361,2015-03-18,PENDING_PAYMENT,329.95,2015-03-22,2015-03-22,Normal,2015-03-18 19:30:00,2015-03-18 19:30:00
42409,DC-ORD-58443,15564,2017-05-03,PENDING_PAYMENT,244.96,2017-05-07,2017-05-07,Normal,2017-05-03 02:50:00,2017-05-03 02:50:00
42410,DC-ORD-2268,7263,2015-02-03,PENDING_PAYMENT,652.62,2015-02-07,2015-02-07,Normal,2015-02-03 02:13:00,2015-02-03 02:13:00
42411,DC-ORD-6381,3822,2015-04-04,PENDING_PAYMENT,116.99,2015-04-08,2015-04-06,Normal,2015-04-04 03:11:00,2015-04-04 03:11:00
42412,DC-ORD-55682,12230,2017-03-23,PENDING_PAYMENT,402.33,2017-03-27,2017-03-26,Normal,2017-03-23 19:32:00,2017-03-23 19:32:00
42413,DC-ORD-2500,3450,2015-02-06,PENDING_PAYMENT,356.68,2015-02-10,2015-02-12,High,2015-02-06 11:30:00,2015-02-06 11:30:00
42414,DC-ORD-59160,5295,2017-05-13,PENDING_PAYMENT,717.74,2017-05-17,2017-05-19,High,2017-05-13 14:01:00,2017-05-13 14:01:00
42415,DC-ORD-56449,6831,2017-04-04,PENDING_PAYMENT,116.99,2017-04-08,2017-04-09,High,2017-04-04 00:14:00,2017-04-04 00:14:00
42416,DC-ORD-7899,10994,2015-04-26,PENDING_PAYMENT,889.7,2015-04-30,2015-05-01,High,2015-04-26 07:01:00,2015-04-26 07:01:00
42417,DC-ORD-4955,7001,2015-03-14,PENDING_PAYMENT,588.65,2015-03-18,2015-03-20,High,2015-03-14 07:36:00,2015-03-14 07:36:00
42418,DC-ORD-6839,7061,2015-04-10,PENDING_PAYMENT,869.14,2015-04-14,2015-04-15,High,2015-04-10 19:39:00,2015-04-10 19:39:00
42419,DC-ORD-4893,825,2015-03-13,PENDING_PAYMENT,741.51,2015-03-17,2015-03-17,Normal,2015-03-13 09:53:00,2015-03-13 09:53:00
42420,DC-ORD-53671,9996,2017-02-22,PENDING_PAYMENT,301.89,2017-02-26,2017-02-24,Normal,2017-02-22 10:59:00,2017-02-22 10:59:00
42421,DC-ORD-58042,10474,2017-04-27,PENDING_PAYMENT,913.49,2017-05-01,2017-04-30,Normal,2017-04-27 06:20:00,2017-04-27 06:20:00
42422,DC-ORD-57302,7885,2017-04-16,PENDING_PAYMENT,52.79,2017-04-20,2017-04-19,Normal,2017-04-16 11:05:00,2017-04-16 11:05:00
42423,DC-ORD-61409,15983,2017-06-15,PENDING_PAYMENT,731.73,2017-06-19,2017-06-20,High,2017-06-15 09:57:00,2017-06-15 09:57:00
42424,DC-ORD-8851,1689,2015-05-10,PENDING_PAYMENT,400.25,2015-05-14,2015-05-12,Normal,2015-05-10 04:32:00,2015-05-10 04:32:00
42425,DC-ORD-56315,3078,2017-04-02,PENDING_PAYMENT,949.33,2017-04-06,2017-04-08,High,2017-04-02 01:18:00,2017-04-02 01:18:00
42426,DC-ORD-54044,16362,2017-02-27,PENDING_PAYMENT,819.0,2017-03-03,2017-03-04,High,2017-02-27 21:40:00,2017-02-27 21:40:00
42427,DC-ORD-57990,11252,2017-04-26,PENDING_PAYMENT,759.78,2017-04-30,2017-05-02,High,2017-04-26 12:07:00,2017-04-26 12:07:00
42428,DC-ORD-58440,297,2017-05-03,PENDING_PAYMENT,479.86,2017-05-07,2017-05-09,High,2017-05-03 01:47:00,2017-05-03 01:47:00
42429,DC-ORD-725,7311,2015-01-11,PENDING_PAYMENT,598.73,2015-01-15,2015-01-17,High,2015-01-11 13:38:00,2015-01-11 13:38:00
42430,DC-ORD-55276,12171,2017-03-17,PENDING_PAYMENT,497.84,2017-03-21,2017-03-19,Normal,2017-03-17 21:17:00,2017-03-17 21:17:00
42431,DC-ORD-9199,7278,2015-05-15,PENDING_PAYMENT,450.22,2015-05-19,2015-05-20,High,2015-05-15 06:28:00,2015-05-15 06:28:00
42432,DC-ORD-55792,1352,2017-03-25,PENDING_PAYMENT,1032.13,2017-03-29,2017-03-28,Normal,2017-03-25 10:04:00,2017-03-25 10:04:00
42433,DC-ORD-5428,1699,2015-03-21,PENDING_PAYMENT,547.55,2015-03-25,2015-03-25,Normal,2015-03-21 05:19:00,2015-03-21 05:19:00
42434,DC-ORD-61334,10864,2017-06-14,PENDING_PAYMENT,193.94,2017-06-18,2017-06-19,High,2017-06-14 07:40:00,2017-06-14 07:40:00
42435,DC-ORD-52135,16363,2017-01-31,PENDING_PAYMENT,373.65,2017-02-04,2017-02-06,High,2017-01-31 00:51:00,2017-01-31 00:51:00
42436,DC-ORD-6163,10479,2015-03-31,PENDING_PAYMENT,1020.59,2015-04-04,2015-04-04,Normal,2015-03-31 22:49:00,2015-03-31 22:49:00
42437,DC-ORD-57366,3116,2017-04-17,PENDING_PAYMENT,113.09,2017-04-21,2017-04-19,Normal,2017-04-17 09:30:00,2017-04-17 09:30:00
42438,DC-ORD-54452,6770,2017-03-05,PENDING_PAYMENT,917.48,2017-03-09,2017-03-08,Normal,2017-03-05 20:36:00,2017-03-05 20:36:00
42439,DC-ORD-57584,11033,2017-04-20,PENDING_PAYMENT,207.45,2017-04-24,2017-04-25,High,2017-04-20 13:53:00,2017-04-20 13:53:00
42440,DC-ORD-56917,10941,2017-04-10,PENDING_PAYMENT,929.4,2017-04-14,2017-04-13,Normal,2017-04-10 20:12:00,2017-04-10 20:12:00
42441,DC-ORD-60167,10435,2017-05-28,PENDING_PAYMENT,110.49,2017-06-01,2017-05-31,Normal,2017-05-28 06:49:00,2017-05-28 06:49:00
42442,DC-ORD-57251,10477,2017-04-15,PENDING_PAYMENT,110.49,2017-04-19,2017-04-17,Normal,2017-04-15 17:13:00,2017-04-15 17:13:00
42443,DC-ORD-55530,11264,2017-03-21,PENDING_PAYMENT,657.85,2017-03-25,2017-03-27,High,2017-03-21 14:16:00,2017-03-21 14:16:00
42444,DC-ORD-5009,2226,2015-03-15,PENDING_PAYMENT,110.49,2015-03-19,2015-03-20,High,2015-03-15 02:31:00,2015-03-15 02:31:00
42445,DC-ORD-59637,15754,2017-05-20,PENDING_PAYMENT,446.85,2017-05-24,2017-05-23,Normal,2017-05-20 13:08:00,2017-05-20 13:08:00
42446,DC-ORD-53965,5348,2017-02-26,PENDING_PAYMENT,683.42,2017-03-02,2017-03-04,High,2017-02-26 17:59:00,2017-02-26 17:59:00
42447,DC-ORD-53613,5169,2017-02-21,PENDING_PAYMENT,900.43,2017-02-25,2017-02-25,Normal,2017-02-21 14:40:00,2017-02-21 14:40:00
42448,DC-ORD-73,12162,2015-01-02,PENDING_PAYMENT,1218.16,2015-01-06,2015-01-06,Normal,2015-01-02 01:13:00,2015-01-02 01:13:00
42449,DC-ORD-9551,11061,2015-05-20,PENDING_PAYMENT,1097.35,2015-05-24,2015-05-22,Normal,2015-05-20 09:47:00,2015-05-20 09:47:00
42450,DC-ORD-6015,10496,2015-03-29,PENDING_PAYMENT,110.49,2015-04-02,2015-04-04,High,2015-03-29 18:58:00,2015-03-29 18:58:00
42451,DC-ORD-52505,5209,2017-02-05,PENDING_PAYMENT,1014.41,2017-02-09,2017-02-11,High,2017-02-05 10:29:00,2017-02-05 10:29:00
42452,DC-ORD-60504,11026,2017-06-02,PENDING_PAYMENT,481.19,2017-06-06,2017-06-07,High,2017-06-02 04:53:00,2017-06-02 04:53:00
42453,DC-ORD-51434,10708,2017-01-20,PENDING_PAYMENT,931.65,2017-01-24,2017-01-25,High,2017-01-20 19:16:00,2017-01-20 19:16:00
42454,DC-ORD-51388,5311,2017-01-20,PENDING_PAYMENT,673.15,2017-01-24,2017-01-24,Normal,2017-01-20 03:09:00,2017-01-20 03:09:00
42455,DC-ORD-8140,15462,2015-04-29,PENDING_PAYMENT,657.03,2015-05-03,2015-05-05,High,2015-04-29 19:27:00,2015-04-29 19:27:00
42456,DC-ORD-3220,3393,2015-02-16,PENDING_PAYMENT,109.19,2015-02-20,2015-02-22,High,2015-02-16 23:45:00,2015-02-16 23:45:00
42457,DC-ORD-10075,686,2015-05-28,PENDING_PAYMENT,178.35,2015-06-01,2015-06-03,High,2015-05-28 01:22:00,2015-05-28 01:22:00
42458,DC-ORD-58949,3437,2017-05-10,PENDING_PAYMENT,736.03,2017-05-14,2017-05-15,High,2017-05-10 12:06:00,2017-05-10 12:06:00
42459,DC-ORD-53608,660,2017-02-21,PENDING_PAYMENT,194.08,2017-02-25,2017-02-25,Normal,2017-02-21 12:55:00,2017-02-21 12:55:00
42460,DC-ORD-6829,3756,2015-04-10,PENDING_PAYMENT,371.52,2015-04-14,2015-04-15,High,2015-04-10 16:09:00,2015-04-10 16:09:00
42461,DC-ORD-8911,5235,2015-05-11,PENDING_PAYMENT,230.84,2015-05-15,2015-05-13,Normal,2015-05-11 01:34:00,2015-05-11 01:34:00
42462,DC-ORD-948,10858,2015-01-14,PENDING_PAYMENT,332.13,2015-01-18,2015-01-18,Normal,2015-01-14 19:46:00,2015-01-14 19:46:00
42463,DC-ORD-6189,6784,2015-04-01,PENDING_PAYMENT,570.04,2015-04-05,2015-04-06,High,2015-04-01 07:55:00,2015-04-01 07:55:00
42464,DC-ORD-9928,2163,2015-05-25,PENDING_PAYMENT,377.85,2015-05-29,2015-05-29,Normal,2015-05-25 21:52:00,2015-05-25 21:52:00
42465,DC-ORD-5410,16364,2015-03-20,PENDING_PAYMENT,772.53,2015-03-24,2015-03-26,High,2015-03-20 23:00:00,2015-03-20 23:00:00
42466,DC-ORD-9135,16365,2015-05-14,PENDING_PAYMENT,656.83,2015-05-18,2015-05-20,High,2015-05-14 08:02:00,2015-05-14 08:02:00
42467,DC-ORD-54984,4060,2017-03-13,PENDING_PAYMENT,107.89,2017-03-17,2017-03-18,High,2017-03-13 14:59:00,2017-03-13 14:59:00
42468,DC-ORD-55667,12213,2017-03-23,PENDING_PAYMENT,407.77,2017-03-27,2017-03-26,Normal,2017-03-23 14:16:00,2017-03-23 14:16:00
42469,DC-ORD-3735,14888,2015-02-24,PENDING_PAYMENT,896.6,2015-02-28,2015-03-02,High,2015-02-24 12:11:00,2015-02-24 12:11:00
42470,DC-ORD-55081,10780,2017-03-15,PENDING_PAYMENT,602.24,2017-03-19,2017-03-17,Normal,2017-03-15 00:58:00,2017-03-15 00:58:00
42471,DC-ORD-10179,1613,2015-05-29,PENDING_PAYMENT,612.24,2015-06-02,2015-06-03,High,2015-05-29 13:48:00,2015-05-29 13:48:00
42472,DC-ORD-119,3783,2015-01-02,PENDING_PAYMENT,443.55,2015-01-06,2015-01-07,High,2015-01-02 17:20:00,2015-01-02 17:20:00
42473,DC-ORD-5157,4083,2015-03-17,PENDING_PAYMENT,541.83,2015-03-21,2015-03-20,Normal,2015-03-17 06:22:00,2015-03-17 06:22:00
42474,DC-ORD-4853,10893,2015-03-12,PENDING_PAYMENT,106.59,2015-03-16,2015-03-16,Normal,2015-03-12 19:52:00,2015-03-12 19:52:00
42475,DC-ORD-56668,7806,2017-04-07,PENDING_PAYMENT,106.59,2017-04-11,2017-04-11,Normal,2017-04-07 04:58:00,2017-04-07 04:58:00
42476,DC-ORD-53160,2085,2017-02-14,PENDING_PAYMENT,328.15,2017-02-18,2017-02-20,High,2017-02-14 23:57:00,2017-02-14 23:57:00
42477,DC-ORD-51428,5407,2017-01-20,PENDING_PAYMENT,939.86,2017-01-24,2017-01-24,Normal,2017-01-20 17:10:00,2017-01-20 17:10:00
42478,DC-ORD-2771,14311,2015-02-10,PENDING_PAYMENT,856.27,2015-02-14,2015-02-12,Normal,2015-02-10 10:27:00,2015-02-10 10:27:00
42479,DC-ORD-7658,14878,2015-04-22,PENDING_PAYMENT,672.61,2015-04-26,2015-04-26,Normal,2015-04-22 18:35:00,2015-04-22 18:35:00
42480,DC-ORD-9997,670,2015-05-26,PENDING_PAYMENT,700.52,2015-05-30,2015-05-29,Normal,2015-05-26 22:02:00,2015-05-26 22:02:00
42481,DC-ORD-58691,12866,2017-05-06,PENDING_PAYMENT,599.95,2017-05-10,2017-05-08,Normal,2017-05-06 17:43:00,2017-05-06 17:43:00
42482,DC-ORD-6817,11182,2015-04-10,PENDING_PAYMENT,403.49,2015-04-14,2015-04-13,Normal,2015-04-10 11:56:00,2015-04-10 11:56:00
42483,DC-ORD-54078,1441,2017-02-28,PENDING_PAYMENT,148.99,2017-03-04,2017-03-04,Normal,2017-02-28 09:34:00,2017-02-28 09:34:00
42484,DC-ORD-60300,4098,2017-05-30,PENDING_PAYMENT,1150.3,2017-06-03,2017-06-05,High,2017-05-30 05:25:00,2017-05-30 05:25:00
42485,DC-ORD-2796,7890,2015-02-10,PENDING_PAYMENT,739.95,2015-02-14,2015-02-12,Normal,2015-02-10 19:12:00,2015-02-10 19:12:00
42486,DC-ORD-58204,10430,2017-04-29,PENDING_PAYMENT,337.9,2017-05-03,2017-05-04,High,2017-04-29 15:06:00,2017-04-29 15:06:00
42487,DC-ORD-7460,15582,2015-04-19,PENDING_PAYMENT,388.97,2015-04-23,2015-04-25,High,2015-04-19 21:13:00,2015-04-19 21:13:00
42488,DC-ORD-60979,12803,2017-06-09,PENDING_PAYMENT,445.47,2017-06-13,2017-06-14,High,2017-06-09 03:18:00,2017-06-09 03:18:00
42489,DC-ORD-7353,16366,2015-04-18,PENDING_PAYMENT,701.45,2015-04-22,2015-04-22,Normal,2015-04-18 07:43:00,2015-04-18 07:43:00
42490,DC-ORD-5049,12133,2015-03-15,PENDING_PAYMENT,610.05,2015-03-19,2015-03-20,High,2015-03-15 16:32:00,2015-03-15 16:32:00
42491,DC-ORD-53155,4114,2017-02-14,PENDING_PAYMENT,688.02,2017-02-18,2017-02-20,High,2017-02-14 22:12:00,2017-02-14 22:12:00
42492,DC-ORD-6590,7110,2015-04-07,PENDING_PAYMENT,236.97,2015-04-11,2015-04-13,High,2015-04-07 04:25:00,2015-04-07 04:25:00
42493,DC-ORD-5403,7224,2015-03-20,PENDING_PAYMENT,425.47,2015-03-24,2015-03-24,Normal,2015-03-20 20:33:00,2015-03-20 20:33:00
42494,DC-ORD-57527,10397,2017-04-19,PENDING_PAYMENT,267.41,2017-04-23,2017-04-22,Normal,2017-04-19 17:55:00,2017-04-19 17:55:00
42495,DC-ORD-53750,12196,2017-02-23,PENDING_PAYMENT,1064.1,2017-02-27,2017-03-01,High,2017-02-23 14:40:00,2017-02-23 14:40:00
42496,DC-ORD-58213,10992,2017-04-29,PENDING_PAYMENT,381.51,2017-05-03,2017-05-03,Normal,2017-04-29 18:15:00,2017-04-29 18:15:00
42497,DC-ORD-52697,14266,2017-02-08,PENDING_PAYMENT,98.48,2017-02-12,2017-02-11,Normal,2017-02-08 05:45:00,2017-02-08 05:45:00
42498,DC-ORD-1354,1698,2015-01-20,PENDING_PAYMENT,179.5,2015-01-24,2015-01-25,High,2015-01-20 18:00:00,2015-01-20 18:00:00
42499,DC-ORD-10175,12081,2015-05-29,PENDING_PAYMENT,371.17,2015-06-02,2015-06-04,High,2015-05-29 12:24:00,2015-05-29 12:24:00
42500,DC-ORD-8008,7000,2015-04-27,PENDING_PAYMENT,351.41,2015-05-01,2015-05-01,Normal,2015-04-27 21:12:00,2015-04-27 21:12:00
42501,DC-ORD-7469,6935,2015-04-20,PENDING_PAYMENT,588.89,2015-04-24,2015-04-25,High,2015-04-20 00:22:00,2015-04-20 00:22:00
42502,DC-ORD-57965,6808,2017-04-26,PENDING_PAYMENT,421.06,2017-04-30,2017-05-02,High,2017-04-26 03:22:00,2017-04-26 03:22:00
42503,DC-ORD-2033,2142,2015-01-30,PENDING_PAYMENT,949.73,2015-02-03,2015-02-03,Normal,2015-01-30 15:54:00,2015-01-30 15:54:00
42504,DC-ORD-53045,15578,2017-02-13,PENDING_PAYMENT,1281.51,2017-02-17,2017-02-19,High,2017-02-13 07:40:00,2017-02-13 07:40:00
42505,DC-ORD-61103,3415,2017-06-10,PENDING_PAYMENT,303.34,2017-06-14,2017-06-14,Normal,2017-06-10 22:45:00,2017-06-10 22:45:00
42506,DC-ORD-6717,14962,2015-04-09,PENDING_PAYMENT,920.21,2015-04-13,2015-04-12,Normal,2015-04-09 00:54:00,2015-04-09 00:54:00
42507,DC-ORD-6494,14806,2015-04-05,PENDING_PAYMENT,46.5,2015-04-09,2015-04-10,High,2015-04-05 18:47:00,2015-04-05 18:47:00
42508,DC-ORD-56639,5476,2017-04-06,PENDING_PAYMENT,310.48,2017-04-10,2017-04-11,High,2017-04-06 18:48:00,2017-04-06 18:48:00
42509,DC-ORD-394,3247,2015-01-06,PENDING_PAYMENT,45.5,2015-01-10,2015-01-11,High,2015-01-06 17:41:00,2015-01-06 17:41:00
42510,DC-ORD-7108,11315,2015-04-14,PENDING_PAYMENT,699.85,2015-04-18,2015-04-18,Normal,2015-04-14 17:53:00,2015-04-14 17:53:00
42511,DC-ORD-58455,3186,2017-05-03,PENDING_PAYMENT,44.0,2017-05-07,2017-05-09,High,2017-05-03 07:02:00,2017-05-03 07:02:00
42512,DC-ORD-2672,10180,2015-02-08,PENDING_PAYMENT,375.47,2015-02-12,2015-02-11,Normal,2015-02-08 23:46:00,2015-02-08 23:46:00
42513,DC-ORD-7838,6937,2015-04-25,PENDING_PAYMENT,892.91,2015-04-29,2015-04-29,Normal,2015-04-25 09:39:00,2015-04-25 09:39:00
42514,DC-ORD-59178,10777,2017-05-13,PENDING_PAYMENT,538.77,2017-05-17,2017-05-17,Normal,2017-05-13 20:20:00,2017-05-13 20:20:00
42515,DC-ORD-9371,10677,2015-05-17,PENDING_PAYMENT,855.29,2015-05-21,2015-05-19,Normal,2015-05-17 18:43:00,2015-05-17 18:43:00
42516,DC-ORD-57090,10718,2017-04-13,PENDING_PAYMENT,34.79,2017-04-17,2017-04-19,High,2017-04-13 08:49:00,2017-04-13 08:49:00
42517,DC-ORD-3534,15987,2015-02-21,PENDING_PAYMENT,1476.91,2015-02-25,2015-02-26,High,2015-02-21 13:46:00,2015-02-21 13:46:00
42518,DC-ORD-58706,10727,2017-05-06,PENDING_PAYMENT,938.37,2017-05-10,2017-05-08,Normal,2017-05-06 22:58:00,2017-05-06 22:58:00
42519,DC-ORD-2981,16367,2015-02-13,PENDING_PAYMENT,613.96,2015-02-17,2015-02-15,Normal,2015-02-13 12:01:00,2015-02-13 12:01:00
42520,DC-ORD-52477,3291,2017-02-05,PENDING_PAYMENT,791.37,2017-02-09,2017-02-08,Normal,2017-02-05 00:40:00,2017-02-05 00:40:00
42521,DC-ORD-51429,5255,2017-01-20,PENDING_PAYMENT,517.73,2017-01-24,2017-01-25,High,2017-01-20 17:31:00,2017-01-20 17:31:00
42522,DC-ORD-7608,4083,2015-04-22,PENDING_PAYMENT,32.79,2015-04-26,2015-04-26,Normal,2015-04-22 01:04:00,2015-04-22 01:04:00
42523,DC-ORD-60335,3248,2017-05-30,PENDING_PAYMENT,471.94,2017-06-03,2017-06-05,High,2017-05-30 17:41:00,2017-05-30 17:41:00
42524,DC-ORD-53383,10628,2017-02-18,PENDING_PAYMENT,32.79,2017-02-22,2017-02-22,Normal,2017-02-18 06:05:00,2017-02-18 06:05:00
42525,DC-ORD-5224,11972,2015-03-18,PENDING_PAYMENT,585.66,2015-03-22,2015-03-23,High,2015-03-18 05:50:00,2015-03-18 05:50:00
42526,DC-ORD-9105,11981,2015-05-13,PENDING_PAYMENT,698.44,2015-05-17,2015-05-19,High,2015-05-13 21:32:00,2015-05-13 21:32:00
42527,DC-ORD-6107,3125,2015-03-31,PENDING_PAYMENT,429.65,2015-04-04,2015-04-03,Normal,2015-03-31 03:12:00,2015-03-31 03:12:00
42528,DC-ORD-8279,15590,2015-05-01,PENDING_PAYMENT,430.45,2015-05-05,2015-05-06,High,2015-05-01 20:09:00,2015-05-01 20:09:00
42529,DC-ORD-51390,10550,2017-01-20,PENDING_PAYMENT,548.41,2017-01-24,2017-01-26,High,2017-01-20 03:51:00,2017-01-20 03:51:00
42530,DC-ORD-56685,10192,2017-04-07,PENDING_PAYMENT,651.61,2017-04-11,2017-04-13,High,2017-04-07 10:55:00,2017-04-07 10:55:00
42531,DC-ORD-57076,4130,2017-04-13,PENDING_PAYMENT,125.23,2017-04-17,2017-04-15,Normal,2017-04-13 03:54:00,2017-04-13 03:54:00
42532,DC-ORD-672,3265,2015-01-10,PENDING_PAYMENT,299.98,2015-01-14,2015-01-13,Normal,2015-01-10 19:04:00,2015-01-10 19:04:00
42533,DC-ORD-5545,7707,2015-03-22,PENDING_PAYMENT,902.02,2015-03-26,2015-03-28,High,2015-03-22 22:18:00,2015-03-22 22:18:00
42534,DC-ORD-9871,7204,2015-05-25,PENDING_PAYMENT,802.59,2015-05-29,2015-05-27,Normal,2015-05-25 01:54:00,2015-05-25 01:54:00
42535,DC-ORD-56546,16368,2017-04-05,PENDING_PAYMENT,365.56,2017-04-09,2017-04-07,Normal,2017-04-05 10:13:00,2017-04-05 10:13:00
42536,DC-ORD-5198,11256,2015-03-17,PENDING_PAYMENT,608.0,2015-03-21,2015-03-21,Normal,2015-03-17 20:44:00,2015-03-17 20:44:00
42537,DC-ORD-136,3425,2015-01-02,PENDING_PAYMENT,299.98,2015-01-06,2015-01-04,Normal,2015-01-02 23:17:00,2015-01-02 23:17:00
