id,po_number,vendor_id,amount,status,order_date,expected_delivery,actual_delivery,pr_id,pr_number,created_at,approved_at,received_at,category,department,created_by
30377,DC-PO-53800,VND0000005,783.94,Received,2017-02-24,2017-02-28,2017-03-02,,,2017-02-24 08:11:00,2017-02-24 08:11:00,2017-03-02,Water Sports,Fan Shop,
30378,DC-PO-53789,VND0000005,848.17,Received,2017-02-24,2017-02-28,2017-03-01,,,2017-02-24 04:19:00,2017-02-24 04:19:00,2017-03-01,Water Sports,Fan Shop,
30379,DC-PO-53781,VND0000005,1174.93,Received,2017-02-24,2017-02-28,2017-02-26,,,2017-02-24 01:31:00,2017-02-24 01:31:00,2017-02-26,Water Sports,Fan Shop,
30380,DC-PO-53765,VND0000002,670.4,Received,2017-02-23,2017-02-27,2017-03-01,,,2017-02-23 19:55:00,2017-02-23 19:55:00,2017-03-01,Water Sports,Fan Shop,
30381,DC-PO-53744,VND0000005,1136.88,Received,2017-02-23,2017-02-24,2017-02-25,,,2017-02-23 12:34:00,2017-02-23 12:34:00,2017-02-25,Water Sports,Fan Shop,
30382,DC-PO-53738,VND0000005,454.88,Received,2017-02-23,2017-02-27,2017-02-27,,,2017-02-23 10:27:00,2017-02-23 10:27:00,2017-02-27,Water Sports,Fan Shop,
30383,DC-PO-53725,VND0000002,413.51,Received,2017-02-23,2017-02-24,2017-02-25,,,2017-02-23 05:54:00,2017-02-23 05:54:00,2017-02-25,Water Sports,Fan Shop,
30384,DC-PO-53697,VND0000005,811.93,Received,2017-02-22,2017-02-24,2017-02-25,,,2017-02-22 20:06:00,2017-02-22 20:06:00,2017-02-25,Water Sports,Fan Shop,
30385,DC-PO-53695,VND0000005,193.99,Received,2017-02-22,2017-02-23,2017-02-24,,,2017-02-22 19:23:00,2017-02-22 19:23:00,2017-02-24,Water Sports,Fan Shop,
30386,DC-PO-53692,VND0000005,191.99,Received,2017-02-22,2017-02-26,2017-02-25,,,2017-02-22 18:20:00,2017-02-22 18:20:00,2017-02-25,Water Sports,Fan Shop,
30387,DC-PO-53684,VND0000005,189.99,Received,2017-02-22,2017-02-26,2017-02-27,,,2017-02-22 15:32:00,2017-02-22 15:32:00,2017-02-27,Water Sports,Fan Shop,
30388,DC-PO-53677,VND0000005,508.03,Received,2017-02-22,2017-02-26,2017-02-25,,,2017-02-22 13:05:00,2017-02-22 13:05:00,2017-02-25,Water Sports,Fan Shop,
30389,DC-PO-53661,VND0000005,575.87,Received,2017-02-22,2017-02-24,2017-02-24,,,2017-02-22 07:29:00,2017-02-22 07:29:00,2017-02-24,Water Sports,Fan Shop,
30390,DC-PO-53654,VND0000005,858.93,Received,2017-02-22,2017-02-24,2017-02-27,,,2017-02-22 05:02:00,2017-02-22 05:02:00,2017-02-27,Water Sports,Fan Shop,
30391,DC-PO-53652,VND0000005,609.93,Received,2017-02-22,2017-02-26,2017-02-25,,,2017-02-22 04:20:00,2017-02-22 04:20:00,2017-02-25,Water Sports,Fan Shop,
30392,DC-PO-53638,VND0000005,309.99,Received,2017-02-21,2017-02-22,2017-02-23,,,2017-02-21 23:25:00,2017-02-21 23:25:00,2017-02-23,Water Sports,Fan Shop,
30393,DC-PO-53629,VND0000005,281.94,Received,2017-02-21,2017-02-23,2017-02-26,,,2017-02-21 20:16:00,2017-02-21 20:16:00,2017-02-26,Water Sports,Fan Shop,
30394,DC-PO-53619,VND0000005,1183.14,Received,2017-02-21,2017-02-23,2017-02-26,,,2017-02-21 16:46:00,2017-02-21 16:46:00,2017-02-26,Water Sports,Fan Shop,
30395,DC-PO-53611,VND0000005,191.99,Received,2017-02-21,2017-02-25,2017-02-23,,,2017-02-21 13:58:00,2017-02-21 13:58:00,2017-02-23,Water Sports,Fan Shop,
30396,DC-PO-53600,VND0000005,541.95,Received,2017-02-21,2017-02-25,2017-02-27,,,2017-02-21 10:07:00,2017-02-21 10:07:00,2017-02-27,Water Sports,Fan Shop,
30397,DC-PO-53599,VND0000005,897.1,Received,2017-02-21,2017-02-25,2017-02-26,,,2017-02-21 09:46:00,2017-02-21 09:46:00,2017-02-26,Water Sports,Fan Shop,
30398,DC-PO-53592,VND0000005,854.94,Received,2017-02-21,2017-02-25,2017-02-24,,,2017-02-21 07:18:00,2017-02-21 07:18:00,2017-02-24,Water Sports,Fan Shop,
30399,DC-PO-53587,VND0000003,432.07,Received,2017-02-21,2017-02-25,2017-02-24,,,2017-02-21 05:33:00,2017-02-21 05:33:00,2017-02-24,Water Sports,Fan Shop,
30400,DC-PO-53582,VND0000005,272.37,Received,2017-02-21,2017-02-25,2017-02-24,,,2017-02-21 03:48:00,2017-02-21 03:48:00,2017-02-24,Water Sports,Fan Shop,
30401,DC-PO-53580,VND0000003,622.97,Received,2017-02-21,2017-02-23,2017-02-27,,,2017-02-21 03:06:00,2017-02-21 03:06:00,2017-02-27,Water Sports,Fan Shop,
30402,DC-PO-53572,VND0000005,650.97,Received,2017-02-21,2017-02-25,2017-02-24,,,2017-02-21 00:18:00,2017-02-21 00:18:00,2017-02-24,Water Sports,Fan Shop,
30403,DC-PO-53530,VND0000005,199.99,Received,2017-02-20,2017-02-24,2017-02-26,,,2017-02-20 09:35:00,2017-02-20 09:35:00,2017-02-26,Water Sports,Fan Shop,
30404,DC-PO-53527,VND0000005,917.49,Received,2017-02-20,2017-02-24,2017-02-23,,,2017-02-20 08:32:00,2017-02-20 08:32:00,2017-02-23,Water Sports,Fan Shop,
30405,DC-PO-53526,VND0000005,1080.31,Received,2017-02-20,2017-02-24,2017-02-22,,,2017-02-20 08:11:00,2017-02-20 08:11:00,2017-02-22,Water Sports,Fan Shop,
30406,DC-PO-53518,VND0000005,185.99,Received,2017-02-20,2017-02-24,2017-02-24,,,2017-02-20 05:23:00,2017-02-20 05:23:00,2017-02-24,Water Sports,Fan Shop,
30407,DC-PO-53515,VND0000005,1218.5,Received,2017-02-20,2017-02-24,2017-02-26,,,2017-02-20 04:20:00,2017-02-20 04:20:00,2017-02-26,Water Sports,Fan Shop,
30408,DC-PO-53513,VND0000005,527.97,Received,2017-02-20,2017-02-20,2017-02-20,,,2017-02-20 03:38:00,2017-02-20 03:38:00,2017-02-20,Water Sports,Fan Shop,
30409,DC-PO-53488,VND0000005,169.99,Received,2017-02-19,2017-02-19,2017-02-20,,,2017-02-19 18:52:00,2017-02-19 18:52:00,2017-02-20,Water Sports,Fan Shop,
30410,DC-PO-53476,VND0000005,741.14,Received,2017-02-19,2017-02-23,2017-02-21,,,2017-02-19 14:40:00,2017-02-19 14:40:00,2017-02-21,Water Sports,Fan Shop,
30411,DC-PO-53475,VND0000005,885.9,Received,2017-02-19,2017-02-23,2017-02-25,,,2017-02-19 14:19:00,2017-02-19 14:19:00,2017-02-25,Water Sports,Fan Shop,
30412,DC-PO-53469,VND0000005,868.93,Received,2017-02-19,2017-02-20,2017-02-21,,,2017-02-19 12:13:00,2017-02-19 12:13:00,2017-02-21,Water Sports,Fan Shop,
30413,DC-PO-53466,VND0000005,730.42,Received,2017-02-19,2017-02-23,2017-02-21,,,2017-02-19 11:10:00,2017-02-19 11:10:00,2017-02-21,Water Sports,Fan Shop,
30414,DC-PO-53461,VND0000005,193.99,Received,2017-02-19,2017-02-23,2017-02-21,,,2017-02-19 09:25:00,2017-02-19 09:25:00,2017-02-21,Water Sports,Fan Shop,
30415,DC-PO-53457,VND0000005,853.36,Received,2017-02-19,2017-02-23,2017-02-22,,,2017-02-19 08:01:00,2017-02-19 08:01:00,2017-02-22,Water Sports,Fan Shop,
30416,DC-PO-53446,VND0000005,438.71,Received,2017-02-19,2017-02-23,2017-02-21,,,2017-02-19 04:09:00,2017-02-19 04:09:00,2017-02-21,Water Sports,Fan Shop,
30417,DC-PO-53444,VND0000005,381.91,Received,2017-02-19,2017-02-20,2017-02-21,,,2017-02-19 03:27:00,2017-02-19 03:27:00,2017-02-21,Water Sports,Fan Shop,
30418,DC-PO-53434,VND0000005,1081.89,Received,2017-02-18,2017-02-22,2017-02-23,,,2017-02-18 23:57:00,2017-02-18 23:57:00,2017-02-23,Water Sports,Fan Shop,
30419,DC-PO-53429,VND0000005,771.44,Received,2017-02-18,2017-02-22,2017-02-23,,,2017-02-18 22:12:00,2017-02-18 22:12:00,2017-02-23,Water Sports,Fan Shop,
30420,DC-PO-53422,VND0000002,375.95,Received,2017-02-18,2017-02-19,2017-02-20,,,2017-02-18 19:45:00,2017-02-18 19:45:00,2017-02-20,Water Sports,Fan Shop,
30421,DC-PO-53415,VND0000005,159.99,Received,2017-02-18,2017-02-19,2017-02-20,,,2017-02-18 17:18:00,2017-02-18 17:18:00,2017-02-20,Water Sports,Fan Shop,
30422,DC-PO-53399,VND0000005,1067.78,Received,2017-02-18,2017-02-22,2017-02-23,,,2017-02-18 11:41:00,2017-02-18 11:41:00,2017-02-23,Water Sports,Fan Shop,
30423,DC-PO-53391,VND0000005,1181.15,Received,2017-02-18,2017-02-22,2017-02-20,,,2017-02-18 08:53:00,2017-02-18 08:53:00,2017-02-20,Water Sports,Fan Shop,
30424,DC-PO-53380,VND0000005,419.89,Received,2017-02-18,2017-02-22,2017-02-24,,,2017-02-18 05:02:00,2017-02-18 05:02:00,2017-02-24,Water Sports,Fan Shop,
30425,DC-PO-53372,VND0000005,584.95,Received,2017-02-18,2017-02-19,2017-02-20,,,2017-02-18 02:14:00,2017-02-18 02:14:00,2017-02-20,Water Sports,Fan Shop,
30426,DC-PO-53370,VND0000005,415.97,Received,2017-02-18,2017-02-22,2017-02-24,,,2017-02-18 01:32:00,2017-02-18 01:32:00,2017-02-24,Water Sports,Fan Shop,
30427,DC-PO-53366,VND0000005,771.01,Received,2017-02-18,2017-02-22,2017-02-20,,,2017-02-18 00:08:00,2017-02-18 00:08:00,2017-02-20,Water Sports,Fan Shop,
30428,DC-PO-53363,VND0000005,407.97,Received,2017-02-17,2017-02-21,2017-02-21,,,2017-02-17 23:05:00,2017-02-17 23:05:00,2017-02-21,Water Sports,Fan Shop,
30429,DC-PO-53356,VND0000005,747.45,Received,2017-02-17,2017-02-19,2017-02-19,,,2017-02-17 20:37:00,2017-02-17 20:37:00,2017-02-19,Water Sports,Fan Shop,
30430,DC-PO-53352,VND0000003,515.99,Received,2017-02-17,2017-02-21,2017-02-20,,,2017-02-17 19:13:00,2017-02-17 19:13:00,2017-02-20,Water Sports,Fan Shop,
30431,DC-PO-53344,VND0000005,841.91,Received,2017-02-17,2017-02-19,2017-02-22,,,2017-02-17 16:25:00,2017-02-17 16:25:00,2017-02-22,Water Sports,Fan Shop,
30432,DC-PO-53342,VND0000005,381.98,Received,2017-02-17,2017-02-19,2017-02-20,,,2017-02-17 15:43:00,2017-02-17 15:43:00,2017-02-20,Water Sports,Fan Shop,
30433,DC-PO-53332,VND0000005,268.96,Received,2017-02-17,2017-02-21,2017-02-20,,,2017-02-17 12:13:00,2017-02-17 12:13:00,2017-02-20,Water Sports,Fan Shop,
30434,DC-PO-53313,VND0000005,995.22,Received,2017-02-17,2017-02-19,2017-02-21,,,2017-02-17 05:34:00,2017-02-17 05:34:00,2017-02-21,Water Sports,Fan Shop,
30435,DC-PO-53306,VND0000005,1083.35,Received,2017-02-17,2017-02-19,2017-02-19,,,2017-02-17 03:06:00,2017-02-17 03:06:00,2017-02-19,Water Sports,Fan Shop,
30436,DC-PO-53291,VND0000005,493.97,Received,2017-02-16,2017-02-20,2017-02-18,,,2017-02-16 21:51:00,2017-02-16 21:51:00,2017-02-18,Water Sports,Fan Shop,
30437,DC-PO-53283,VND0000003,622.31,Received,2017-02-16,2017-02-20,2017-02-20,,,2017-02-16 19:03:00,2017-02-16 19:03:00,2017-02-20,Water Sports,Fan Shop,
30438,DC-PO-53281,VND0000002,375.93,Received,2017-02-16,2017-02-20,2017-02-18,,,2017-02-16 18:21:00,2017-02-16 18:21:00,2017-02-18,Water Sports,Fan Shop,
30439,DC-PO-53270,VND0000005,547.06,Received,2017-02-16,2017-02-20,2017-02-22,,,2017-02-16 14:30:00,2017-02-16 14:30:00,2017-02-22,Water Sports,Fan Shop,
30440,DC-PO-53269,VND0000005,159.99,Received,2017-02-16,2017-02-20,2017-02-21,,,2017-02-16 14:09:00,2017-02-16 14:09:00,2017-02-21,Water Sports,Fan Shop,
30441,DC-PO-53264,VND0000005,816.9,Received,2017-02-16,2017-02-20,2017-02-21,,,2017-02-16 12:24:00,2017-02-16 12:24:00,2017-02-21,Water Sports,Fan Shop,
30442,DC-PO-53253,VND0000005,393.98,Received,2017-02-16,2017-02-20,2017-02-20,,,2017-02-16 08:32:00,2017-02-16 08:32:00,2017-02-20,Water Sports,Fan Shop,
30443,DC-PO-53239,VND0000005,550.8,Received,2017-02-16,2017-02-20,2017-02-21,,,2017-02-16 03:38:00,2017-02-16 03:38:00,2017-02-21,Water Sports,Fan Shop,
30444,DC-PO-53230,VND0000002,620.33,Received,2017-02-16,2017-02-20,2017-02-22,,,2017-02-16 00:29:00,2017-02-16 00:29:00,2017-02-22,Water Sports,Fan Shop,
30445,DC-PO-53224,VND0000005,513.97,Received,2017-02-15,2017-02-19,2017-02-20,,,2017-02-15 22:23:00,2017-02-15 22:23:00,2017-02-20,Water Sports,Fan Shop,
30446,DC-PO-53199,VND0000005,173.99,Received,2017-02-15,2017-02-19,2017-02-20,,,2017-02-15 13:37:00,2017-02-15 13:37:00,2017-02-20,Water Sports,Fan Shop,
30447,DC-PO-53194,VND0000005,707.24,Received,2017-02-15,2017-02-15,2017-02-15,,,2017-02-15 11:52:00,2017-02-15 11:52:00,2017-02-15,Water Sports,Fan Shop,
30448,DC-PO-53192,VND0000002,462.94,Received,2017-02-15,2017-02-19,2017-02-18,,,2017-02-15 11:10:00,2017-02-15 11:10:00,2017-02-18,Water Sports,Fan Shop,
30449,DC-PO-53163,VND0000005,159.99,Received,2017-02-15,2017-02-19,2017-02-19,,,2017-02-15 01:00:00,2017-02-15 01:00:00,2017-02-19,Water Sports,Fan Shop,
30450,DC-PO-53158,VND0000005,920.84,Received,2017-02-14,2017-02-16,2017-02-18,,,2017-02-14 23:15:00,2017-02-14 23:15:00,2017-02-18,Water Sports,Fan Shop,
30451,DC-PO-53143,VND0000005,820.91,Received,2017-02-14,2017-02-15,2017-02-16,,,2017-02-14 18:00:00,2017-02-14 18:00:00,2017-02-16,Water Sports,Fan Shop,
30452,DC-PO-53140,VND0000005,758.93,Received,2017-02-14,2017-02-15,2017-02-16,,,2017-02-14 16:57:00,2017-02-14 16:57:00,2017-02-16,Water Sports,Fan Shop,
30453,DC-PO-53128,VND0000003,413.48,Received,2017-02-14,2017-02-18,2017-02-18,,,2017-02-14 12:45:00,2017-02-14 12:45:00,2017-02-18,Water Sports,Fan Shop,
30454,DC-PO-53116,VND0000005,715.95,Received,2017-02-14,2017-02-16,2017-02-16,,,2017-02-14 08:33:00,2017-02-14 08:33:00,2017-02-16,Water Sports,Fan Shop,
30455,DC-PO-53110,VND0000005,1014.52,Received,2017-02-14,2017-02-18,2017-02-20,,,2017-02-14 06:26:00,2017-02-14 06:26:00,2017-02-20,Water Sports,Fan Shop,
30456,DC-PO-53083,VND0000005,929.58,Received,2017-02-13,2017-02-14,2017-02-15,,,2017-02-13 20:59:00,2017-02-13 20:59:00,2017-02-15,Water Sports,Fan Shop,
30457,DC-PO-53054,VND0000005,735.85,Received,2017-02-13,2017-02-14,2017-02-15,,,2017-02-13 10:49:00,2017-02-13 10:49:00,2017-02-15,Water Sports,Fan Shop,
30458,DC-PO-53046,VND0000005,749.75,Received,2017-02-13,2017-02-17,2017-02-15,,,2017-02-13 08:01:00,2017-02-13 08:01:00,2017-02-15,Water Sports,Fan Shop,
30459,DC-PO-53041,VND0000003,712.15,Received,2017-02-13,2017-02-15,2017-02-15,,,2017-02-13 06:16:00,2017-02-13 06:16:00,2017-02-15,Water Sports,Fan Shop,
30460,DC-PO-53028,VND0000001,472.55,Received,2017-02-13,2017-02-15,2017-02-17,,,2017-02-13 01:43:00,2017-02-13 01:43:00,2017-02-17,Water Sports,Fan Shop,
30461,DC-PO-53012,VND0000005,869.75,Received,2017-02-12,2017-02-16,2017-02-15,,,2017-02-12 20:06:00,2017-02-12 20:06:00,2017-02-15,Water Sports,Fan Shop,
30462,DC-PO-52995,VND0000002,419.95,Received,2017-02-12,2017-02-12,2017-02-13,,,2017-02-12 14:09:00,2017-02-12 14:09:00,2017-02-13,Water Sports,Fan Shop,
30463,DC-PO-52987,VND0000005,285.56,Received,2017-02-12,2017-02-16,2017-02-15,,,2017-02-12 11:21:00,2017-02-12 11:21:00,2017-02-15,Water Sports,Fan Shop,
30464,DC-PO-52985,VND0000005,265.95,Received,2017-02-12,2017-02-14,2017-02-18,,,2017-02-12 10:39:00,2017-02-12 10:39:00,2017-02-18,Water Sports,Fan Shop,
30465,DC-PO-52983,VND0000005,167.99,Received,2017-02-12,2017-02-16,2017-02-16,,,2017-02-12 09:57:00,2017-02-12 09:57:00,2017-02-16,Water Sports,Fan Shop,
30466,DC-PO-52975,VND0000005,922.24,Received,2017-02-12,2017-02-16,2017-02-18,,,2017-02-12 07:09:00,2017-02-12 07:09:00,2017-02-18,Water Sports,Fan Shop,
30467,DC-PO-52960,VND0000002,843.62,Received,2017-02-12,2017-02-13,2017-02-14,,,2017-02-12 01:53:00,2017-02-12 01:53:00,2017-02-14,Water Sports,Fan Shop,
30468,DC-PO-52954,VND0000005,375.55,Received,2017-02-11,2017-02-13,2017-02-16,,,2017-02-11 23:47:00,2017-02-11 23:47:00,2017-02-16,Water Sports,Fan Shop,
30469,DC-PO-52951,VND0000002,446.95,Received,2017-02-11,2017-02-15,2017-02-13,,,2017-02-11 22:44:00,2017-02-11 22:44:00,2017-02-13,Water Sports,Fan Shop,
30470,DC-PO-52949,VND0000005,856.91,Received,2017-02-11,2017-02-15,2017-02-16,,,2017-02-11 22:02:00,2017-02-11 22:02:00,2017-02-16,Water Sports,Fan Shop,
30471,DC-PO-52945,VND0000005,540.46,Received,2017-02-11,2017-02-15,2017-02-17,,,2017-02-11 20:38:00,2017-02-11 20:38:00,2017-02-17,Water Sports,Fan Shop,
30472,DC-PO-52923,VND0000005,589.05,Received,2017-02-11,2017-02-15,2017-02-15,,,2017-02-11 12:56:00,2017-02-11 12:56:00,2017-02-15,Water Sports,Fan Shop,
30473,DC-PO-52919,VND0000003,684.27,Received,2017-02-11,2017-02-13,2017-02-16,,,2017-02-11 11:31:00,2017-02-11 11:31:00,2017-02-16,Water Sports,Fan Shop,
30474,DC-PO-52908,VND0000005,181.99,Received,2017-02-11,2017-02-15,2017-02-15,,,2017-02-11 07:40:00,2017-02-11 07:40:00,2017-02-15,Water Sports,Fan Shop,
30475,DC-PO-52901,VND0000005,876.88,Received,2017-02-11,2017-02-13,2017-02-13,,,2017-02-11 05:13:00,2017-02-11 05:13:00,2017-02-13,Water Sports,Fan Shop,
30476,DC-PO-52874,VND0000005,809.44,Received,2017-02-10,2017-02-14,2017-02-15,,,2017-02-10 19:46:00,2017-02-10 19:46:00,2017-02-15,Water Sports,Fan Shop,
30477,DC-PO-52873,VND0000005,149.99,Received,2017-02-10,2017-02-14,2017-02-14,,,2017-02-10 19:25:00,2017-02-10 19:25:00,2017-02-14,Water Sports,Fan Shop,
30478,DC-PO-52869,VND0000005,571.97,Received,2017-02-10,2017-02-12,2017-02-15,,,2017-02-10 18:00:00,2017-02-10 18:00:00,2017-02-15,Water Sports,Fan Shop,
30479,DC-PO-52866,VND0000005,197.99,Received,2017-02-10,2017-02-14,2017-02-12,,,2017-02-10 16:57:00,2017-02-10 16:57:00,2017-02-12,Water Sports,Fan Shop,
30480,DC-PO-52865,VND0000005,735.97,Received,2017-02-10,2017-02-14,2017-02-16,,,2017-02-10 16:36:00,2017-02-10 16:36:00,2017-02-16,Water Sports,Fan Shop,
30481,DC-PO-52852,VND0000005,546.9,Received,2017-02-10,2017-02-14,2017-02-13,,,2017-02-10 12:03:00,2017-02-10 12:03:00,2017-02-13,Water Sports,Fan Shop,
30482,DC-PO-52838,VND0000005,1140.93,Received,2017-02-10,2017-02-14,2017-02-14,,,2017-02-10 07:09:00,2017-02-10 07:09:00,2017-02-14,Water Sports,Fan Shop,
30483,DC-PO-52833,VND0000005,444.42,Received,2017-02-10,2017-02-14,2017-02-14,,,2017-02-10 05:24:00,2017-02-10 05:24:00,2017-02-14,Water Sports,Fan Shop,
30484,DC-PO-52830,VND0000005,1098.81,Received,2017-02-10,2017-02-12,2017-02-16,,,2017-02-10 04:21:00,2017-02-10 04:21:00,2017-02-16,Water Sports,Fan Shop,
30485,DC-PO-52827,VND0000005,936.33,Received,2017-02-10,2017-02-12,2017-02-13,,,2017-02-10 03:18:00,2017-02-10 03:18:00,2017-02-13,Water Sports,Fan Shop,
30486,DC-PO-52818,VND0000002,631.14,Received,2017-02-10,2017-02-14,2017-02-14,,,2017-02-10 00:08:00,2017-02-10 00:08:00,2017-02-14,Water Sports,Fan Shop,
30487,DC-PO-52812,VND0000005,663.95,Received,2017-02-09,2017-02-10,2017-02-11,,,2017-02-09 22:02:00,2017-02-09 22:02:00,2017-02-11,Water Sports,Fan Shop,
30488,DC-PO-52799,VND0000005,560.91,Received,2017-02-09,2017-02-11,2017-02-14,,,2017-02-09 17:29:00,2017-02-09 17:29:00,2017-02-14,Water Sports,Fan Shop,
30489,DC-PO-52786,VND0000005,343.98,Received,2017-02-09,2017-02-11,2017-02-11,,,2017-02-09 12:56:00,2017-02-09 12:56:00,2017-02-11,Water Sports,Fan Shop,
30490,DC-PO-52785,VND0000005,773.94,Received,2017-02-09,2017-02-11,2017-02-15,,,2017-02-09 12:35:00,2017-02-09 12:35:00,2017-02-15,Water Sports,Fan Shop,
30491,DC-PO-52776,VND0000005,813.95,Received,2017-02-09,2017-02-13,2017-02-11,,,2017-02-09 09:25:00,2017-02-09 09:25:00,2017-02-11,Water Sports,Fan Shop,
30492,DC-PO-52770,VND0000005,1180.45,Received,2017-02-09,2017-02-13,2017-02-15,,,2017-02-09 07:19:00,2017-02-09 07:19:00,2017-02-15,Water Sports,Fan Shop,
30493,DC-PO-52764,VND0000005,585.95,Received,2017-02-09,2017-02-13,2017-02-14,,,2017-02-09 05:13:00,2017-02-09 05:13:00,2017-02-14,Water Sports,Fan Shop,
30494,DC-PO-52750,VND0000005,955.18,Received,2017-02-09,2017-02-13,2017-02-15,,,2017-02-09 00:19:00,2017-02-09 00:19:00,2017-02-15,Water Sports,Fan Shop,
30495,DC-PO-52748,VND0000005,762.35,Received,2017-02-08,2017-02-08,2017-02-09,,,2017-02-08 23:37:00,2017-02-08 23:37:00,2017-02-09,Water Sports,Fan Shop,
30496,DC-PO-52747,VND0000005,188.99,Received,2017-02-08,2017-02-12,2017-02-11,,,2017-02-08 23:16:00,2017-02-08 23:16:00,2017-02-11,Water Sports,Fan Shop,
30497,DC-PO-52737,VND0000005,181.99,Received,2017-02-08,2017-02-10,2017-02-11,,,2017-02-08 19:46:00,2017-02-08 19:46:00,2017-02-11,Water Sports,Fan Shop,
30498,DC-PO-52725,VND0000005,367.46,Received,2017-02-08,2017-02-12,2017-02-14,,,2017-02-08 15:33:00,2017-02-08 15:33:00,2017-02-14,Water Sports,Fan Shop,
30499,DC-PO-52724,VND0000005,169.99,Received,2017-02-08,2017-02-12,2017-02-13,,,2017-02-08 15:12:00,2017-02-08 15:12:00,2017-02-13,Water Sports,Fan Shop,
30500,DC-PO-52722,VND0000005,433.56,Received,2017-02-08,2017-02-12,2017-02-11,,,2017-02-08 14:30:00,2017-02-08 14:30:00,2017-02-11,Water Sports,Fan Shop,
30501,DC-PO-52711,VND0000005,1005.04,Received,2017-02-08,2017-02-09,2017-02-10,,,2017-02-08 10:39:00,2017-02-08 10:39:00,2017-02-10,Water Sports,Fan Shop,
30502,DC-PO-52708,VND0000005,858.37,Received,2017-02-08,2017-02-08,2017-02-08,,,2017-02-08 09:36:00,2017-02-08 09:36:00,2017-02-08,Water Sports,Fan Shop,
30503,DC-PO-52706,VND0000005,618.96,Received,2017-02-08,2017-02-12,2017-02-10,,,2017-02-08 08:54:00,2017-02-08 08:54:00,2017-02-10,Water Sports,Fan Shop,
30504,DC-PO-52698,VND0000005,857.99,Received,2017-02-08,2017-02-12,2017-02-12,,,2017-02-08 06:06:00,2017-02-08 06:06:00,2017-02-12,Water Sports,Fan Shop,
30505,DC-PO-52680,VND0000005,783.45,Received,2017-02-07,2017-02-08,2017-02-09,,,2017-02-07 23:48:00,2017-02-07 23:48:00,2017-02-09,Water Sports,Fan Shop,
30506,DC-PO-52676,VND0000005,871.88,Received,2017-02-07,2017-02-11,2017-02-09,,,2017-02-07 22:23:00,2017-02-07 22:23:00,2017-02-09,Water Sports,Fan Shop,
30507,DC-PO-52661,VND0000003,778.35,Received,2017-02-07,2017-02-11,2017-02-09,,,2017-02-07 17:08:00,2017-02-07 17:08:00,2017-02-09,Water Sports,Fan Shop,
30508,DC-PO-52651,VND0000005,412.47,Received,2017-02-07,2017-02-08,2017-02-09,,,2017-02-07 13:38:00,2017-02-07 13:38:00,2017-02-09,Water Sports,Fan Shop,
30509,DC-PO-52633,VND0000005,642.45,Received,2017-02-07,2017-02-09,2017-02-11,,,2017-02-07 07:20:00,2017-02-07 07:20:00,2017-02-11,Water Sports,Fan Shop,
30510,DC-PO-52622,VND0000003,687.03,Received,2017-02-07,2017-02-08,2017-02-09,,,2017-02-07 03:28:00,2017-02-07 03:28:00,2017-02-09,Water Sports,Fan Shop,
30511,DC-PO-52617,VND0000005,1253.92,Received,2017-02-07,2017-02-11,2017-02-10,,,2017-02-07 01:43:00,2017-02-07 01:43:00,2017-02-10,Water Sports,Fan Shop,
30512,DC-PO-52611,VND0000005,188.99,Received,2017-02-06,2017-02-06,2017-02-07,,,2017-02-06 23:37:00,2017-02-06 23:37:00,2017-02-07,Water Sports,Fan Shop,
30513,DC-PO-52593,VND0000005,345.42,Received,2017-02-06,2017-02-10,2017-02-10,,,2017-02-06 17:19:00,2017-02-06 17:19:00,2017-02-10,Water Sports,Fan Shop,
30514,DC-PO-52585,VND0000005,969.41,Received,2017-02-06,2017-02-08,2017-02-12,,,2017-02-06 14:31:00,2017-02-06 14:31:00,2017-02-12,Water Sports,Fan Shop,
30515,DC-PO-52584,VND0000005,375.41,Received,2017-02-06,2017-02-10,2017-02-11,,,2017-02-06 14:10:00,2017-02-06 14:10:00,2017-02-11,Water Sports,Fan Shop,
30516,DC-PO-52571,VND0000005,923.26,Received,2017-02-06,2017-02-10,2017-02-08,,,2017-02-06 09:36:00,2017-02-06 09:36:00,2017-02-08,Water Sports,Fan Shop,
30517,DC-PO-52561,VND0000005,625.96,Received,2017-02-06,2017-02-10,2017-02-08,,,2017-02-06 06:06:00,2017-02-06 06:06:00,2017-02-08,Water Sports,Fan Shop,
30518,DC-PO-52559,VND0000005,495.96,Received,2017-02-06,2017-02-10,2017-02-11,,,2017-02-06 05:24:00,2017-02-06 05:24:00,2017-02-11,Water Sports,Fan Shop,
30519,DC-PO-52546,VND0000005,844.95,Received,2017-02-06,2017-02-08,2017-02-08,,,2017-02-06 00:51:00,2017-02-06 00:51:00,2017-02-08,Water Sports,Fan Shop,
30520,DC-PO-52531,VND0000005,305.95,Received,2017-02-05,2017-02-09,2017-02-07,,,2017-02-05 19:35:00,2017-02-05 19:35:00,2017-02-07,Water Sports,Fan Shop,
30521,DC-PO-52524,VND0000005,342.31,Received,2017-02-05,2017-02-09,2017-02-10,,,2017-02-05 17:08:00,2017-02-05 17:08:00,2017-02-10,Water Sports,Fan Shop,
30522,DC-PO-52521,VND0000002,905.9,Received,2017-02-05,2017-02-09,2017-02-07,,,2017-02-05 16:05:00,2017-02-05 16:05:00,2017-02-07,Water Sports,Fan Shop,
